,close_price,starting_price,high_price,low_price,trading_volume
20200320120500,202,202,202,202,10000
20200320120300,205,205,205,205,2
20200320120100,205,205,205,205,48
20200320115400,205,202,205,202,200
20200320115300,202,202,202,202,400
20200320115100,202,202,202,202,1000
20200320114900,204,204,204,204,500
20200320114500,202,202,202,202,6956
20200320114300,203,203,203,203,6
20200320114200,203,203,203,203,298
20200320114100,203,203,203,203,8080
20200320113500,205,205,205,205,500
20200320113400,204,204,204,204,933
20200320113300,204,204,204,204,340
20200320113200,204,204,204,204,2000
20200320113000,204,203,204,203,8080
20200320112900,203,201,203,201,53253
20200320112700,200,200,200,200,46
20200320112400,200,200,200,200,83
20200320112200,200,200,200,200,2600
20200320112000,200,200,200,200,1000
20200320111900,199,199,199,199,17330
20200320111700,199,199,199,199,4
20200320111500,197,197,197,197,19802
20200320111000,197,197,197,197,10000
20200320110600,196,196,196,196,2000
20200320110500,197,197,197,197,200
20200320110300,196,198,198,196,5684
20200320105500,198,198,198,198,2
20200320104300,199,199,199,199,58
20200320104200,199,199,199,199,240
20200320104100,201,200,201,200,3177
20200320104000,200,200,200,200,45
20200320103900,201,201,201,200,768
20200320103800,199,199,199,199,81
20200320103700,199,199,199,199,10
20200320103600,199,199,199,199,1700
20200320103400,199,199,199,199,201
20200320103100,199,199,199,199,10
20200320103000,197,197,197,197,40979
20200320102900,197,197,197,197,1867
20200320102800,197,197,197,197,613
20200320102700,197,197,197,197,1352
20200320102500,198,197,198,197,2955
20200320102400,199,199,199,199,1
20200320102200,200,200,200,200,2000
20200320101900,197,199,199,197,3934
20200320101800,199,200,200,199,1755
20200320101300,201,201,201,201,200
20200320101200,201,201,201,201,9400
20200320101100,201,201,201,201,2000
20200320100900,200,199,200,199,1000
20200320100700,200,200,200,200,100
20200320100500,197,195,197,195,25469
20200320100300,197,197,197,197,6000
20200320100000,194,194,194,194,19170
20200320095800,191,192,192,191,1800
20200320095700,191,191,191,191,3739
20200320095600,191,192,193,191,6268
20200320095500,194,195,195,193,1114
20200320095100,194,194,194,194,2
20200320094900,196,195,196,195,13810
20200320094800,196,196,196,196,501
20200320094700,196,198,198,196,2501
20200320094600,198,198,198,198,501
20200320094500,198,198,198,198,600
20200320094400,196,196,196,196,4000
20200320094300,197,198,198,197,2749
20200320094200,198,198,198,198,480
20200320093700,200,200,200,200,5100
20200320093500,198,199,199,198,250
20200320093400,200,200,200,200,900
20200320093300,200,200,200,200,80
20200320093200,200,200,200,200,2482
20200320093100,199,204,204,199,2488
20200320092900,200,200,200,200,479
20200320092800,199,199,199,199,50
20200320092700,200,203,203,200,24564
20200320092600,203,203,203,203,5002
20200320092500,203,203,203,203,6358
20200320092400,207,207,207,207,30
20200320092200,208,208,208,208,1
20200320092100,203,206,206,203,28167
20200320092000,203,203,203,203,1
20200320091900,203,203,205,203,5954
20200320091800,205,208,213,205,17009
20200320091700,209,215,216,209,12653
20200320091600,209,217,217,209,44
20200320091500,214,211,218,211,44762
20200320091400,211,208,211,208,27449
20200320091300,208,208,208,208,500
20200320091200,210,206,210,206,4802
20200320091100,206,206,206,206,100
20200320091000,206,204,207,204,5010
20200320090900,203,205,205,203,11499
20200320090800,203,205,205,203,10039
